sex,fb,email_domain,associations,words,badwords,abuse
F,1,rambler.ru,2,0,4,0
M,1,gmail.com,2,0,0,0
M,1,mail.ru,2,0,2,0
M,1,gmail.com,2,0,0,0
,0,inbox.ru,2,0,2,0
M,1,mail.ru,2,0,0,0
M,1,yandex.ru,2,0,0,0
M,1,gmail.com,2,0,0,0
,0,gmail.com,2,0,0,0
M,1,,2,0,0,0
F,1,gmail.com,2,1,0,0
M,1,gmail.com,2,0,1,0
F,1,,2,0,0,0
,0,ukr.net,2,0,0,0
M,1,yandex.ru,2,0,0,0
M,1,ya.ru,2,0,0,0
,0,gmail.com,2,0,0,0
F,1,inbox.ru,2,0,0,0
,0,mail.ru,2,0,0,0
,0,mail.ru,2,0,0,0
,0,gmail.com,2,0,0,0
F,1,mail.ru,2,0,0,0
F,1,vlasta-tula.ru,2,0,0,0
F,1,gmail.com,2,0,1,0
F,1,gmail.com,2,0,0,0
M,1,mail.ru,2,0,0,0
M,1,inbox.ru,2,0,0,0
M,1,yandex.ru,2,0,0,0
F,1,ya.ru,2,0,0,0
F,1,mail.ru,2,0,0,0
F,1,yandex.ru,2,0,0,0
M,1,gmail.com,2,0,0,0
M,1,rambler.ru,2,0,0,0
M,1,gmail.com,2,0,1,0
F,1,,2,0,2,0
M,1,gmail.com,2,0,0,0
,0,bk.ru,2,0,0,0
M,1,ukr.net,2,0,3,0
F,1,,2,0,1,0
F,1,mail.ru,2,0,0,0
M,1,gmail.com,2,0,1,0
F,1,mail.ru,2,0,0,0
M,1,gmail.com,2,0,0,0
M,1,gmail.com,2,0,0,0
F,1,yandex.ru,2,0,0,0
M,1,gmail.com,2,0,0,0
,0,yandex.ru,2,0,1,0
,0,inbox.ru,2,0,0,0
F,1,mail.ru,2,0,2,0
F,1,mail.ru,2,0,0,0
,0,yandex.ru,2,0,0,0
,0,gmail.com,2,0,0,0
,0,gmail.com,2,0,0,0
F,1,e-mail.ua,2,0,0,0
,0,gmail.com,2,0,0,0
F,1,mail.ru,2,0,0,0
M,1,mail.ru,2,0,0,0
F,1,yandex.ru,2,0,0,0
,0,ya.ru,2,0,4,0
M,1,gmail.com,2,0,1,0
M,1,mail.ru,2,0,0,0
F,1,,2,0,0,0
M,1,ukr.net,2,0,0,0
M,1,gmail.com,2,0,0,0
,0,mail.ru,2,0,1,0
F,1,mail.ru,2,0,0,0
,0,grr.la,2,0,1,0
,0,gmail.com,2,0,0,0
M,1,,2,0,0,0
F,1,mail.ru,2,0,0,0
F,1,,2,0,0,0
M,1,gmail.com,2,0,0,0
M,1,gmail.com,2,0,0,0
M,1,mail.ru,2,0,1,0
F,1,,2,0,0,0
F,1,,2,0,1,0
F,1,gmail.com,2,0,0,0
,0,mail.ru,2,0,0,0
F,1,mail.ru,2,0,0,0
F,1,,2,0,0,0
M,1,mail.ru,2,0,1,0
,0,list.ru,2,0,0,0
F,1,gmail.com,2,0,0,0
F,1,myrambler.ru,2,0,0,0
F,1,gmail.com,2,0,0,0
M,1,mail.ru,2,0,0,0
,0,bk.ru,2,0,0,0
M,1,gmail.com,2,0,0,0
F,1,,2,1,0,0
F,1,gmail.com,2,0,0,0
,0,gmail.com,3,0,0,0
,0,list.ru,3,0,0,0
,0,bigmir.net,3,0,0,0
M,1,gmail.com,3,0,0,0
,0,yahoo.com,3,2,0,0
M,1,gmail.com,3,0,0,0
,0,mail.ru,3,0,2,0
,0,rambler.ru,3,0,0,0
,0,list.ru,3,0,0,0
,0,gmail.com,3,0,0,0
M,1,mail.ru,3,1,0,0
M,1,gmail.com,3,0,0,0
M,1,bk.ru,3,0,0,0
F,1,yandex.ru,3,3,0,0
M,1,mail.ru,3,0,0,0
,0,mail.ru,3,0,0,0
,0,gmail.com,3,0,2,0
,0,burstmail.info,3,0,0,0
M,1,gmail.com,3,1,0,0
M,1,mail.ru,3,0,0,0
,0,ya.ru,3,1,0,0
M,1,yandex.ru,3,0,0,0
F,1,yandex.ru,3,0,0,0
M,1,gmail.com,3,0,0,0
F,1,mail.ru,3,1,0,0
M,1,gmail.com,3,0,0,0
,0,mail.ru,3,0,0,0
M,1,mail.ru,3,0,0,1
,0,ukr.net,3,0,0,0
M,1,gmail.com,3,0,0,0
,0,mail.ru,3,0,0,0
F,1,ukr.net,3,0,0,0
,0,mail.ru,3,0,0,0
M,1,narod.ru,3,0,0,0
M,1,yandex.ru,3,0,0,0
,0,gmail.com,3,0,0,0
M,1,gmail.com,3,0,0,0
M,1,yandex.ru,3,0,0,0
F,1,gmail.com,3,0,0,0
M,1,gmail.com,3,1,1,0
M,1,gmail.com,3,0,2,0
,0,bk.ru,3,2,0,0
M,1,mail.ru,3,0,4,0
,0,rambler.ru,3,0,0,0
,0,gmail.com,3,0,0,0
,0,gmail.com,3,0,0,0
M,1,mail.ru,3,0,0,0
,0,gmail.com,3,0,0,0
,0,yandex.ru,3,0,0,0
,0,mail.ru,3,0,0,0
F,1,mail.ru,3,0,0,0
